<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,1,20160204,171700,97.14,97.19,97.05,97.17,115810
SBER,1,20160205,181000,96.98,96.99,96.92,96.99,136160
SBER,1,20160208,130100,95.15,95.22,95,95.22,973170
SBER,1,20160208,144700,95.62,95.64,95.58,95.64,48260
SBER,1,20160209,170400,92.91,92.91,92.84,92.89,154700
SBER,1,20160210,115900,94.61,94.62,94.56,94.62,270710
SBER,1,20160210,133700,94.28,94.3,94.12,94.23,429230
SBER,1,20160211,115100,94.44,94.51,94.35,94.48,112700
SBER,1,20160211,121600,93.7,93.73,93.64,93.72,76330
SBER,1,20160212,162900,94.79,94.79,94.7,94.77,123170
SBER,1,20160219,115800,102.25,102.25,102.14,102.23,88780
SBER,1,20160220,165600,102.48,102.49,102.46,102.49,27550
SBER,1,20160225,143100,104.07,104.07,104.03,104.06,62840
SBER,1,20160225,183200,103.87,103.87,103.8,103.86,320210
SBER,1,20160301,134300,107.08,107.09,107,107.09,70470
SBER,1,20160303,101800,106.37,106.38,106.3,106.35,79330
SBER,1,20160304,171900,108.29,108.3,108.24,108.3,23990
SBER,1,20160307,113300,109.88,109.89,109.83,109.89,47830
SBER,1,20160307,150000,109.5,109.5,109.41,109.48,82880
SBER,1,20160310,104500,107.81,107.81,107.74,107.79,120480
SBER,1,20160311,125700,109.49,109.49,109.43,109.48,38160
SBER,1,20160311,172500,108.95,108.98,108.89,108.97,135130
SBER,1,20160314,141500,108.75,108.75,108.71,108.74,135490
SBER,1,20160314,172400,109.15,109.17,109.08,109.13,167400
SBER,1,20160315,172500,106.62,106.64,106.55,106.6,165650
SBER,1,20160317,100400,108.07,108.09,108,108.09,403530
SBER,1,20160317,164500,108.97,108.99,108.92,108.99,41210
SBER,1,20160317,170100,108.97,108.98,108.92,108.98,27460
SBER,1,20160318,133100,111.33,111.34,111.24,111.31,98180
SBER,1,20160318,172000,112.01,112.02,111.91,112.02,130480
SBER,1,20160321,100600,111.05,111.05,110.94,111.02,651730
SBER,1,20160321,114200,111.99,112,111.85,111.97,173190
SBER,1,20160322,111100,112.92,113,112.8,112.97,509490
SBER,1,20160322,134100,111.75,111.76,111.63,111.72,330850
SBER,1,20160323,105400,111.17,111.19,111.12,111.19,26570
SBER,1,20160323,140300,111.08,111.1,111.04,111.1,47710
SBER,1,20160323,150100,110.54,110.57,110.25,110.49,1063600
SBER,1,20160323,152400,110.35,110.35,110.28,110.34,255430
SBER,1,20160324,182600,107.37,107.38,107.33,107.38,114740
SBER,1,20160325,122700,109.01,109.02,108.98,109.02,20620
SBER,1,20160329,104100,107.32,107.36,107.22,107.35,266450
SBER,1,20160329,131600,106.35,106.35,106.3,106.34,69150
SBER,1,20160329,153200,106.18,106.2,106.13,106.2,182750
SBER,1,20160329,165000,106.13,106.13,106.07,106.11,63620
SBER,1,20160329,175900,106.45,106.45,106.4,106.44,23380
SBER,1,20160330,115500,108.04,108.05,107.9,108,159120
SBER,1,20160330,154500,108.95,108.95,108.92,108.94,25390
SBER,1,20160331,110700,107.39,107.43,107.32,107.42,169550
SBER,1,20160401,105200,108.86,108.88,108.8,108.88,219920
SBER,1,20160406,113100,107.4,107.42,107.34,107.42,60240
SBER,1,20160406,182000,108.04,108.04,107.96,108.02,230280
SBER,1,20160407,133700,108.02,108.04,107.96,108.04,49920
SBER,1,20160411,173700,116.05,116.07,116,116.07,85510
SBER,1,20160412,160200,116.85,116.85,116.78,116.83,55780
SBER,1,20160415,110100,119.36,119.38,119.28,119.34,149510
SBER,1,20160415,151800,118.51,118.52,118.42,118.48,121540
SBER,1,20160419,121400,121.8,121.85,121.68,121.85,224240
SBER,1,20160419,155700,121.23,121.25,121.05,121.19,809920
SBER,1,20160420,110200,121.47,121.5,121.43,121.49,253220
SBER,1,20160420,124100,120.95,120.97,120.9,120.97,253610
SBER,1,20160425,125900,120.05,120.06,119.83,120.02,252040
SBER,1,20160426,102000,119.61,119.61,119.45,119.59,115940
SBER,1,20160426,175900,119.37,119.4,119.26,119.39,152780
SBER,1,20160426,183400,119.47,119.48,119.4,119.45,49210
SBER,1,20160427,112000,120.61,120.7,120.5,120.66,436090
SBER,1,20160428,162600,123.8,123.83,123.7,123.82,197730
SBER,1,20160429,101600,123.64,123.68,123.52,123.68,333600
SBER,1,20160429,103300,124.52,124.6,124.37,124.57,644260
SBER,1,20160429,113900,124.92,124.99,124.81,124.97,104210
SBER,1,20160429,132000,125.08,125.16,124.98,125.13,281000
SBER,1,20160429,141000,125.02,125.06,124.95,125.05,109880
SBER,1,20160429,153600,123.82,123.82,123.72,123.79,83840
SBER,1,20160429,170700,122.15,122.16,122.05,122.12,189810
SBER,1,20160505,120200,121.1,121.11,121.04,121.11,10290
SBER,1,20160506,100200,119.74,119.82,119.55,119.79,569330
SBER,1,20160506,104000,120.04,120.06,119.92,120.06,709600
SBER,1,20160506,125100,118.83,118.84,118.71,118.8,270920
SBER,1,20160506,140300,118.55,118.56,118.52,118.56,6450
SBER,1,20160506,173000,120.15,120.17,120.1,120.16,79360
SBER,1,20160510,160400,118.99,118.99,118.91,118.98,50460
SBER,1,20160510,163200,119.16,119.19,119.08,119.19,58750
SBER,1,20160511,152900,122.63,122.64,122.59,122.64,51240
SBER,1,20160512,145000,122.6,122.6,122.55,122.59,43800
SBER,1,20160512,153400,122.4,122.44,122.34,122.43,18850
SBER,1,20160513,112500,120.92,120.92,120.85,120.9,2130
SBER,1,20160513,122500,120.19,120.19,120.06,120.16,159080
SBER,1,20160513,141200,120.6,120.6,120.5,120.58,62430
SBER,1,20160517,182900,122.68,122.7,122.65,122.69,26650
SBER,1,20160518,174100,123.07,123.1,123.03,123.09,27560
SBER,1,20160519,165700,120.81,120.81,120.7,120.78,537010
SBER,1,20160520,103900,121.63,121.65,121.55,121.65,497160
SBER,1,20160523,130100,120.57,120.6,120.52,120.59,132650
SBER,1,20160524,145400,122.67,122.67,122.63,122.66,11650
SBER,1,20160524,172700,123.39,123.39,123.35,123.38,24250
SBER,1,20160525,111100,126.81,126.83,126.7,126.78,1142450
SBER,1,20160526,153200,132.07,132.07,131.88,132.05,507870
SBER,1,20160527,104800,133.7,133.72,133.5,133.71,659660
SBER,1,20160527,113600,132.46,132.47,132.34,132.45,254270
SBER,1,20160530,103500,134.15,134.16,133.95,134.13,267680
SBER,1,20160531,130800,135.08,135.18,134.97,135.13,251500
SBER,1,20160602,173800,131.01,131.01,130.93,131,8920
SBER,1,20160603,180900,131.62,131.62,131.47,131.58,94630
SBER,1,20160606,132300,134.26,134.26,134.11,134.24,31710
SBER,1,20160607,110200,137.14,137.15,137.11,137.15,146710
SBER,1,20160610,162300,134.89,134.89,134.71,134.85,259060
SBER,1,20160610,174100,133.96,133.98,133.87,133.94,119700
SBER,1,20160614,145200,127.13,127.18,127.02,127.18,107240
SBER,1,20160617,150400,130.44,130.48,130.37,130.46,149090
SBER,1,20160620,122300,133.03,133.08,132.91,133.08,102160
SBER,1,20160621,150400,131.18,131.18,131.12,131.16,24980
SBER,1,20160622,132500,134.5,134.5,134.43,134.48,5440
SBER,1,20160622,160900,134.47,134.47,134.35,134.45,20000
SBER,1,20160622,173900,135.02,135.03,134.82,134.97,182190
SBER,1,20160622,174900,135.29,135.29,135.13,135.26,160970
SBER,1,20160624,102100,130.53,130.55,130.22,130.48,820190
SBER,1,20160627,124000,131.65,131.67,131.52,131.62,120690
SBER,1,20160628,120000,126.52,126.62,126.35,126.59,540470
SBER,1,20160628,142300,128.11,128.15,127.95,128.15,311170
SBER,1,20160628,143500,128.06,128.06,127.96,128.04,106890
SBER,1,20160629,123000,131.74,131.75,131.67,131.73,15730
SBER,1,20160704,120700,134.65,134.67,134.59,134.66,86740
SBER,1,20160704,171100,134.06,134.06,133.85,134.04,207390
SBER,1,20160705,110500,132.46,132.48,132.42,132.48,2210
SBER,1,20160705,142600,132,132,131.93,131.98,30390
SBER,1,20160706,142400,128.68,128.7,128.64,128.69,6360
SBER,1,20160706,174800,128.16,128.16,128.12,128.15,27350
SBER,1,20160708,133300,132.07,132.08,132.02,132.08,39560
SBER,1,20160711,164900,136.74,136.76,136.69,136.76,65980
SBER,1,20160712,115400,139.03,139.04,139.01,139.04,33400
SBER,1,20160713,133000,138.87,138.87,138.77,138.84,56890
SBER,1,20160713,160800,139.4,139.46,139.31,139.44,26950
